Prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,Current prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices,2007 constant prices
Q2 2009,16870,13985,6078,6078,67,241,385,327,1748,182,2547,2629,2731,1244,795,641,51,2885,16829,13941,6130,3036,63,200,248,490,1947,146,2335,2618,2858,1151,806,856,45,2888,13362,11177,5175,2606,41,168,279,310,1648,123,1706,2008,2288,848,758,641,41,2185,13426,11227,5260,2534,44,122,152,474,1830,104,1466,2043,2458,792,772,856,38,2199
Q3 2009,17121,14227,6281,6281,66,249,389,333,1827,174,2570,2653,2723,1229,799,643,52,2894,16974,14079,6227,3185,65,205,233,502,1898,139,2376,2626,2850,1123,821,861,45,2895,13750,11517,5422,2739,42,177,294,317,1730,123,1749,2045,2301,854,763,643,41,2233,13695,11455,5389,2702,47,127,138,486,1792,97,1536,2071,2459,772,788,861,38,2240
Q4 2009,17494,14585,6558,6558,67,253,389,344,1969,181,2606,2662,2759,1234,826,644,55,2909,17038,14129,6298,3239,63,211,235,531,1888,131,2370,2618,2843,1112,833,852,46,2909,14063,11816,5658,2814,43,181,299,328,1867,126,1773,2047,2338,861,790,644,43,2247,13669,11430,5415,2723,44,132,133,515,1780,88,1512,2052,2451,760,800,852,39,2239
Q1 2010,17903,14923,6643,6643,65,252,386,343,2042,183,2750,2730,2800,1265,840,639,56,2980,17354,14378,6401,3297,61,214,240,520,1934,135,2444,2663,2870,1132,833,861,44,2976,14259,11988,5680,2783,40,178,293,326,1933,127,1863,2085,2360,874,803,639,44,2271,13779,11507,5423,2709,41,131,135,503,1815,89,1545,2073,2466,769,799,861,37,2272
Q2 2010,18082,15087,6820,6820,66,251,389,339,1970,184,2710,2732,2825,1269,865,635,56,2995,17542,14562,6557,3421,63,212,238,512,1972,139,2474,2657,2874,1127,837,865,45,2980,14434,12129,5813,2988,40,176,291,322,1870,126,1842,2088,2386,878,828,635,45,2305,13964,11681,5549,2795,43,129,132,496,1859,95,1586,2073,2473,767,803,865,38,2283
Q3 2010,18466,15428,7014,7014,70,253,400,341,2014,188,2760,2768,2886,1289,900,640,57,3038,17694,14667,6643,3487,63,210,242,512,1983,146,2485,2646,2893,1117,845,882,49,3027,14702,12374,5966,3093,42,175,295,324,1909,128,1860,2113,2435,886,862,640,47,2328,14004,11701,5609,2841,42,127,135,495,1868,101,1571,2044,2477,743,810,882,42,2303
Q4 2010,18919,15856,7347,7347,68,254,391,354,2272,189,2795,2797,2917,1303,910,647,57,3063,17846,14798,6769,3573,66,214,237,518,2008,153,2491,2646,2892,1113,858,871,50,3048,15113,12748,6267,3144,41,174,284,336,2161,127,1884,2135,2462,898,871,647,46,2365,14146,11801,5692,2886,45,133,126,502,1894,106,1584,2048,2477,740,823,871,43,2345
Q1 2011,19217,16147,7618,7618,71,258,398,349,2438,192,2802,2825,2902,1298,911,636,57,3070,17995,14924,6925,3735,68,216,241,510,2009,146,2508,2643,2848,1096,862,841,49,3071,15533,13129,6564,3261,44,178,294,333,2323,131,1925,2191,2449,897,871,636,45,2404,14442,12029,5896,3078,48,139,134,494,1902,101,1623,2061,2449,738,828,841,42,2413
Q2 2011,19584,16481,7861,7861,72,259,414,361,2495,193,2826,2880,2914,1271,939,646,58,3103,18099,15022,6915,3720,65,213,252,536,1986,143,2550,2685,2872,1086,865,872,49,3077,15788,13361,6744,3371,43,177,307,342,2373,131,1931,2225,2461,871,897,646,47,2427,14423,12015,5815,3002,44,132,142,520,1877,98,1646,2090,2464,720,830,872,42,2408
Q3 2011,19734,16605,7914,7914,71,260,421,363,2513,194,2849,2899,2943,1288,942,655,58,3129,18219,15130,6973,3738,65,215,249,543,2022,141,2566,2697,2894,1089,862,893,50,3089,15951,13514,6806,3404,43,178,315,346,2388,132,1959,2249,2500,896,902,655,47,2437,14488,12086,5848,3004,43,131,136,526,1911,97,1658,2099,2481,720,826,893,42,2402
Q4 2011,20117,16957,8167,8167,69,259,434,375,2574,195,2871,2939,2980,1324,942,655,59,3160,18388,15272,7042,3812,62,213,246,548,2022,139,2583,2718,2929,1101,870,907,51,3116,16280,13809,7044,3564,41,176,324,358,2447,134,1963,2269,2533,927,902,655,49,2471,14619,12192,5892,3056,40,128,131,531,1911,95,1673,2117,2510,727,833,907,43,2427
Q1 2012,20363,17192,8298,8298,70,260,434,377,2574,196,2913,2963,3018,1341,951,665,61,3171,18434,15316,7057,3883,61,210,248,528,1989,138,2573,2731,2955,1111,888,906,50,3118,16423,13939,7135,3649,40,174,323,360,2452,137,1976,2275,2553,930,908,665,50,2484,14626,12200,5899,3125,38,124,131,510,1878,93,1649,2121,2531,732,851,906,42,2426
Q2 2012,20524,17288,8323,8323,69,263,434,378,2562,199,2933,3003,3029,1340,960,667,62,3236,18456,15327,7044,3849,61,210,252,524,2010,138,2587,2746,2950,1094,887,918,51,3129,16611,14062,7173,3687,40,177,324,361,2443,141,2004,2319,2566,931,917,667,51,2549,14687,12247,5900,3101,38,125,135,507,1901,93,1672,2142,2533,721,851,918,43,2440
Q3 2012,,,,0,,,,,,,,,,,,,,,18404,15266,6989,3789,63,205,252,519,2022,139,2571,2746,2960,1094,899,917,50,3138,,,,,,,,,,,,,,,,,,,14706,12250,5878,3067,41,120,136,502,1916,96,1669,2153,2550,727,864,917,42,2456
Q4 2012,,,,0,,,,,,,,,,,,,,,18494,15331,7020,3801,65,202,252,520,2040,140,2584,2762,2965,1087,897,932,49,3163,,,,,,,,,,,,,,,,,,,14764,12279,5898,3072,42,116,134,502,1936,96,1673,2161,2547,713,861,932,41,2485
Q1 2013,,,,0,,,,,,,,,,,,,,,18536,15356,6990,3770,65,201,250,524,2040,140,2599,2803,2964,1061,891,963,49,3180,,,,,,,,,,,,,,,,,,,14761,12260,5844,3021,41,114,131,506,1936,95,1675,2196,2545,687,854,963,41,2501
Q2 2013,,,,0,,,,,,,,,,,,,,,18613,15432,6996,3730,67,204,256,535,2062,142,2636,2829,2971,1069,890,964,48,3181,,,,,,,,,,,,,,,,,,,14902,12388,5873,2998,43,118,138,518,1961,97,1727,2230,2558,700,854,964,40,2514
Q3 2013,,,,0,,,,,,,,,,,,,,,18726,15511,7029,3702,64,208,250,543,2119,143,2658,2857,2967,1057,896,966,48,3215,,,,,,,,,,,,,,,,,,,14973,12438,5894,2962,40,121,131,525,2017,98,1739,2253,2552,687,859,966,40,2535
Q4 2013,,,,0,,,,,,,,,,,,,,,18891,15647,7183,3776,67,211,255,548,2181,145,2640,2859,2965,1061,892,964,48,3244,,,,,,,,,,,,,,,,,,,15138,12565,6049,3038,43,123,135,530,2080,100,1714,2253,2549,690,855,964,40,2573
Q1 2014,,,,0,,,,,,,,,,,,,,,19042,15810,7341,3898,67,212,260,553,2208,143,2645,2865,2959,1054,900,957,48,3232,,,,,,,,,,,,,,,,,,,15313,12727,6190,3141,43,124,140,535,2109,98,1725,2262,2550,689,864,957,40,2586
Q2 2014,,,,0,,,,,,,,,,,,,,,19287,16020,7445,3995,63,210,262,566,2205,144,2677,2925,2973,1063,899,962,49,3267,,,,,,,,,,,,,,,,,,,15459,12860,6262,3214,40,121,139,548,2102,98,1738,2302,2558,693,862,962,41,2599
Q3 2014,,,,0,,,,,,,,,,,,,,,19400,16118,7501,4058,63,212,264,568,2191,145,2688,2950,2979,1049,895,985,50,3282,,,,,,,,,,,,,,,,,,,15507,12898,6285,3250,39,121,139,550,2088,98,1740,2313,2560,676,857,985,42,2609
Q4 2014,,,,0,,,,,,,,,,,,,,,19539,16238,7572,4099,64,206,264,578,2214,147,2699,2953,3014,1062,886,1016,50,3301,,,,,,,,,,,,,,,,,,,15615,12998,6350,3286,39,117,139,560,2109,100,1743,2312,2593,687,848,1016,42,2617
Q1 2015,,,,0,,,,,,,,,,,,,,,19601,16298,7679,4207,65,205,265,567,2223,147,2670,2944,3005,1067,886,1003,49,3303,,,,,,,,,,,,,,,,,,,15656,13038,6447,3391,40,114,136,549,2117,100,1711,2298,2582,690,848,1003,41,2618
Q2 2015,,,,0,,,,,,,,,,,,,,,19741,16426,7753,4286,65,204,268,572,2210,148,2700,2994,2979,1086,893,950,50,3315,,,,,,,,,,,,,,,,,,,15684,13084,6462,3422,40,112,136,553,2098,101,1732,2338,2552,706,854,950,42,2600
Q3 2015,,,,0,,,,,,,,,,,,,,,19897,16576,7856,4341,67,201,271,570,2257,149,2707,3017,2996,1096,896,954,50,3321,,,,,,,,,,,,,,,,,,,15812,13211,6554,3470,42,109,138,551,2143,101,1734,2354,2569,716,857,954,42,2601
Q4 2015,,,,0,,,,,,,,,,,,,,,19925,16584,7863,4358,65,201,274,577,2239,149,2700,3021,3000,1109,894,947,50,3341,,,,,,,,,,,,,,,,,,,15808,13198,6555,3486,40,109,137,558,2123,102,1721,2351,2571,727,855,947,42,2610
Q1 2016,,,,0,,,,,,,,,,,,,,,20230,16843,8018,4468,65,200,277,582,2275,151,2737,3053,3035,1116,892,976,51,3387,,,,,,,,,,,,,,,,,,,15870,13248,6619,3523,39,106,135,562,2153,101,1702,2344,2583,713,851,976,43,2622
Q2 2016,,,,0,,,,,,,,,,,,,,,20441,17057,8243,4652,68,198,276,585,2311,153,2759,3075,2980,1080,897,952,51,3384,,,,,,,,,,,,,,,,,,,16062,13420,6824,3682,42,105,135,565,2192,103,1716,2356,2524,674,855,952,43,2642
Q3 2016,,,,0,,,,,,,,,,,,,,,20880,17479,8555,4925,71,194,278,588,2345,154,2803,3106,3015,1112,893,957,53,3401,,,,,,,,,,,,,,,,,,,16373,13719,7068,3895,44,98,135,568,2225,103,1736,2367,2548,697,849,957,45,2654
Q4 2016,,,,0,,,,,,,,,,,,,,,20966,17542,8574,4929,71,193,280,596,2353,152,2807,3112,3049,1105,890,1003,51,3424,,,,,,,,,,,,,,,,,,,16439,13760,7081,3896,44,96,135,576,2233,101,1736,2364,2579,688,845,1003,43,2679
Q1 2017,,,,0,,,,,,,,,,,,,,,21196,17727,8671,5019,72,196,288,607,2337,152,2831,3133,3092,1125,887,1029,51,3469,,,,,,,,,,,,,,,,,,,16574,13848,7126,3937,44,98,141,587,2218,101,1737,2371,2614,701,841,1029,43,2726
Q2 2017,,,,0,,,,,,,,,,,,,,,21553,18016,8855,5146,74,191,292,619,2378,155,2863,3162,3136,1114,889,1081,52,3537,,,,,,,,,,,,,,,,,,,16921,14130,7305,4058,46,95,144,599,2259,104,1768,2398,2659,691,843,1081,44,2791
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
